	smiles	carbon	THF-d₈	CD₂Cl₂	CDCl₃	toluene- d₈	C₆D₆	C₆D₅Cl	(CD₃)₂CO	(CD₃)₂SO	CD₃CN	TFE-d₃	CD₃OD	D₂O
acetic acid	CC(=O)O	CO	171.69	175.85	175.99	175.3	175.82	175.67	172.31	171.93	173.21	177.96	175.11	177.21
		CH₃	20.13	20.91	20.81	20.27	20.37	20.4	20.51	20.95	20.73	20.91	20.56	21.03
acetone	CC(=O)C	CO	204.19	206.78	207.07	204	204.43	204.83	205.87	206.31	207.43	32.35	209.67	215.94
		CH₃	30.17	31	30.92	30.03	30.14	30.12	30.6	30.56	30.91	214.98	30.67	30.89
acetonitrile	CC#N	CN	116.79	116.92	116.43	115.76	116.02	115.93	117.6	117.91	118.26	118.95	118.06	119.68
		CH₃	0.45	2.03	1.89	0.03	0.2	0.63	1.12	1.03	1.79	1	0.85	1.47
benzene	c1ccccc1	CH	128.84	128.68	128.37	128.57	128.62	128.38	129.15	128.3	129.32	129.84	129.34	
tert -butyl alcohol		(CH₃)₃C	67.5	69.11	69.15	68.12	68.19	68.19	68.13	66.88	68.74	72.35	69.4	70.36
		(CH₃)₃C	30.57	31.46	31.25	30.49	30.47	31.13	30.72	30.38	30.68	31.07	30.91	30.29
carbon dioxide		CO₂	125.69	125.26	124.99	124.86	124.76	126.08	125.81	124.21	125.89	126.92	126.31	
carbon disulfide		CS₂	193.37	192.95	192.83	192.71	192.69	192.49	193.58	192.63	193.6	196.26	193.82	197.25
carbon tetrachloride		CCl₄	96.89	96.52	96.34	96.57	96.44	96.38	96.65	95.44	96.68	97.74	97.21	96.73
chloroform		CH	79.24	77.99	77.36	77.89	77.79	77.67	79.19	79.16	79.17	78.83	79.44	
18-crown-6		CH₂	71.34	70.47	70.55	70.86	70.59	70.55	71.25	69.85	71.22	70.8	71.47	70.14
cyclohexane		CH₂	27.58	27.38	26.94	27.31	27.23	26.99	27.51	26.33	27.63	28.34	27.96	
1,2-dichloroethane		CH₂	44.64	44.35	43.5	43.4	43.59	43.6	45.25	45.02	45.54	45.28	45.11	
dichloromethane		CH₂	54.67	54.24	53.52	53.47	53.46	53.54	54.95	54.84	55.32	54.46	54.78	
diethyl ether		CH₃	15.49	15.44	15.2	15.47	15.46	15.35	15.78	15.12	15.63	15.33	15.46	14.77
		CH₂	66.14	66.11	65.91	65.94	65.94	65.79	66.12	62.05	66.32	67.55	66.88	66.42
diglyme		CH₃	58.72	58.95	59.01	58.62	58.66	58.42	58.77	57.98	58.9	59.4	59.06	58.67
		CH₂	71.17	70.7	70.51	70.92	70.87	70.56	71.03	69.54	70.99	73.05	71.33	70.05
		CH₂	72.72	72.25	71.9	72.39	72.35	72.07	72.63	71.25	72.63	71.33	72.92	71.63
dimethylformamide		CH	161.96	162.57	162.62	161.93	162.13	162.01	162.79	162.29	163.31	166.01	164.73	165.53
		CH₃	35.65	36.56	36.5	35.22	35.25	35.45	36.15	35.73	36.57	37.76	36.89	37.54
		CH₃	30.7	31.39	31.45	30.64	30.72	30.71	31.03	30.73	31.32	30.96	31.61	32.03
1,4-dioxane		CH₂	67.65	67.47	67.14	67.17	67.16	66.95	67.6	66.36	67.72	68.52	68.11	67.19
DME		CH₃	58.72	59.02	59.08	58.63	58.68	58.31	58.45	58.03	58.89	59.52	59.06	58.67
		CH₂	72.58	72.24	71.84	72.25	72.21	71.81	72.47	71.17	72.47	72.87	72.72	71.49
ethane		CH₃	6.79	6.91	6.89	6.94	6.96	6.91	6.88	6.61	6.99	7.01	6.98	
ethanol		CH₃	18.9	18.69	18.41	18.78	18.72	18.55	18.89	18.51	18.8	18.11	18.4	17.47
		CH₂	57.6	58.57	58.28	57.81	57.86	57.63	57.72	56.07	57.96	59.68	58.26	58.05
ethyl acetate		CH₃CO	20.45	21.15	21.04	20.46	20.56	20.5	20.83	20.68	21.16	21.18	20.88	21.15
		CO	170.32	171.24	171.36	170.02	170.44	170.2	170.96	170.31	171.68	175.55	172.89	175.26
		CH₂	60.3	60.63	60.49	60.08	60.21	60.06	60.56	59.74	60.98	62.7	61.5	62.32
		CH₃	14.37	14.37	14.19	14.23	14.19	14.07	14.5	14.4	14.54	14.36	14.49	13.92
ethylene		CH₂	123.09	123.2	123.13	122.92	122.96	122.95	123.47	123.52	123.69	124.08	123.46	
ethylene glycol		CH₂	64.35	64.08	63.79	64.29	64.34	64.03	64.26	62.76	64.22	64.87	64.3	63.17
H greaseᵇ		CH₂	30.45	30.14	29.71	30.31	30.22	30.11						
hexamethylbenzene		C	131.88	132.09	132.21	131.72	131.79	131.54	132.22	131.1	132.61	134.04	132.53	
		CH₃	16.71	16.93	16.98	16.84	16.95	16.68	16.86	16.6	16.94	17.04	16.9	
n-hexane		CH₃	14.22	14.28	14.14	14.34	14.32	14.18	14.34	13.88	14.43	14.63	14.45	
		CH₂(2,5)	23.33	23.07	22.7	23.12	23.04	22.86	23.28	22.05	23.4	24.06	23.68	
		CH₂(3,4)	32.34	32.01	31.64	32.06	31.96	31.77	32.3	30.95	32.36	33.17	32.73	
HMDSO		CH₃	1.83	1.96	1.97	1.99	2.05	1.92	2.01	1.96	2.07	2.09	1.99	2.31
HMPAᶜ		CH₃	36.89	36.99	36.87	36.8	36.88	36.64	37.04	36.42	37.1	37.21	37	36.46
imidazole		CH(2)	135.72	135.76	135.38	135.57	135.76	135.5	135.89	135.15	136.33	136.58	136.31	136.65
		CH(4,5)	122.2	122.16	122	122.13	122.16	121.96	122.31	121.55	122.78	122.93	122.6	122.43
methane		CH₄	-4.9	-4.33	-4.63	-4.34	-4.29	-4.33	-5.33	-4.01	-4.61	-5.88	-4.9	
methanol		CH₃	49.64	50.45	50.41	49.9	49.97	49.66	49.77	48.59	49.9	50.67	49.86	49.50ᵈ
nitromethane		CH₃	62.49	63.03	62.5	61.14	61.16	61.68	63.21	63.28	63.66	63.17	63.08	63.22
n-pentane		CH₃	14.18	14.24	14.08	14.27	14.25	14.1	14.29	13.28	14.37	14.54	14.39	
		CH₂(2,4)	23	22.77	22.38	22.79	22.72	22.54	22.98	21.7	23.08	23.75	23.38	
		CH₂(3)	34.87	34.57	34.16	34.54	34.45	34.26	34.83	33.48	34.89	35.76	35.3	
propane		CH₃	16.6	16.63	16.63	16.65	16.66	16.56	16.68	16.34	16.73	16.93	16.8	
		CH₂	16.82	16.63	16.37	16.63	16.6	16.48	16.78	15.67	16.91	17.46	17.19	
2-propanol		CH₃	25.7	25.43	25.14	25.24	25.18	25.14	25.67	25.43	25.55	25.21	25.27	24.38
		CH	66.14	64.67	64.5	64.12	64.23	64.18	63.85	64.92	64.3	66.69	64.71	64.88
propylene		CH₃	19.27	19.47	19.5	19.32	19.38	19.32	19.42	19.2	19.48	19.63	19.5	
		CH₂	115.74	115.7	115.74	115.89	115.92	115.86	116.03	116.07	116.12	116.38	116.04	
		CH	134.02	134.21	133.91	133.61	133.69	133.57	134.34	133.55	134.78	136	134.61	
pyridine		CH(2,6)	150.57	150.27	149.9	150.25	150.27	149.93	150.67	149.58	150.76	149.76	150.07	149.18
		CH(3,5)	124.08	124.06	123.75	123.46	123.58	123.49	124.57	123.84	127.76	126.27	125.53	125.12
		CH(4)	135.99	136.16	135.96	135.17	135.28	135.32	136.56	136.05	136.89	139.62	138.35	138.27
pyrrole		CH(2,5)	118.03	117.93	117.77	117.61	117.78	117.65	117.98	117.32	118.47	119.61	118.28	119.06
		CH(3,4)	107.74	108.02	107.98	108.15	108.21	108.03	108.04	107.07	108.31	108.85	108.11	107.83
pyrrolidineᵉ		CH₂(2,5)	45.82	47.02	46.93	47.12	46.86	46.75		46.51	47.57	47.43	47.23	46.83
		CH₂(3,4)	26.17	25.83	25.56	25.75	25.65	25.59		25.26	26.34	25.73	26.29	25.86
silicone grease		CH₃	1.2	1.22	1.19	1.37	1.38	1.09	1.4			2.87	2.1	
tetrahydrofuran		CH₂(2,5)	68.03	68.16	67.97	67.75	67.8	67.64	68.07	67.03	68.33	69.53	68.83	68.68
		CH₂(3,4)	26.19	25.98	25.62	25.79	25.72	25.68	26.15	25.14	26.27	26.69	26.48	25.67
toluene		CH₃	21.29	21.53	21.46	21.37	21.1	21.23	21.46	20.99	21.5	21.62	21.5	
		C(1)	138.24	138.36	137.89	137.84	137.91	137.65	138.48	137.35	138.9	139.92	138.85	
		CH(2,6)	129.47	129.35	129.07	129.33	129.33	129.12	129.76	128.88	129.94	130.58	129.91	
		CH(3,5)	128.71	128.54	128.26	128.51	128.56	128.31	129.03	128.18	129.23	129.79	129.2	
		CH(4)	125.84	125.62	125.33	125.66	125.68	125.43	126.12	125.29	126.28	126.82	126.29	
triethylamine		CH₃	12.51	12.12	11.61	12.39	12.35	11.87	12.49	11.74	12.38	9.51	11.09	9.07
		CH₂	47.18	46.75	46.25	46.82	46.77	46.36	47.07	45.74	47.1	48.45	46.96	47.19